parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
218,BIL248211497,18,0,2024-11-21,1600.0,,
219,BIL248211497,19,0,2024-11-24,1600.0,,
220,BIL248211497,20,0,2024-11-26,1600.0,,
221,BIL248211497,21,0,2024-11-28,1600.0,,
222,BIL248211497,22,0,2024-11-28,1400.0,,
223,BIL248211498,1,0,2024-11-07,1600.0,,
224,BIL248211498,2,0,2024-11-07,1600.0,,
225,BIL248211498,3,0,2024-11-07,1600.0,,
226,BIL248211498,4,0,2024-11-08,1600.0,,
227,BIL248211498,5,0,2024-11-08,1600.0,,
228,BIL248211498,6,0,2024-11-08,1600.0,,
229,BIL248211498,7,0,2024-11-09,1600.0,,
230,BIL248211498,8,0,2024-11-09,1600.0,,
231,BIL248211498,9,0,2024-11-09,1600.0,,
232,BIL248211498,10,0,2024-11-09,1600.0,,
233,BIL248211498,11,0,2024-11-10,1600.0,,
234,BIL248211498,12,0,2024-11-11,1600.0,,
235,BIL248211498,13,0,2024-11-11,1600.0,,
236,BIL248211498,14,0,2024-11-11,1600.0,,
237,BIL248211498,15,0,2024-11-11,1600.0,,
238,BIL248211498,16,0,2024-11-11,1600.0,,
239,BIL248211498,17,0,2024-11-12,1600.0,,
240,BIL248211498,18,0,2024-11-13,1600.0,,
241,BIL248211498,19,0,2024-11-13,1600.0,,
242,BIL248211498,20,0,2024-11-15,1600.0,,
243,BIL248211498,21,0,2024-11-15,1600.0,,
244,BIL248211498,22,0,2024-11-17,1400.0,,
245,BIL248211443,1,0,2024-11-06,1600.0,,
246,BIL248211443,2,0,2024-11-06,1600.0,,
247,BIL248211443,3,0,2024-11-09,1600.0,,
248,BIL248211443,4,0,2024-11-10,1600.0,,
249,BIL248211443,5,0,2024-11-11,1600.0,,
250,BIL248211443,6,0,2024-11-11,1600.0,,
251,BIL248211443,7,0,2024-11-12,1600.0,,
252,BIL248211443,8,0,2024-11-13,1600.0,,
253,BIL248211443,9,0,2024-11-14,1600.0,,
254,BIL248211443,10,0,2024-11-14,1600.0,,
255,BIL248211443,11,0,2024-11-14,1600.0,,
256,BIL248211443,12,0,2024-11-14,1600.0,,
257,BIL248211443,13,0,2024-11-14,1600.0,,
258,BIL248211443,14,0,2024-11-15,1600.0,,
259,BIL248211443,15,0,2024-11-15,0.0,,
260,VIL240621440,1,0,2024-11-06,1500.0,,
261,VIL240621440,2,0,2024-11-08,1500.0,,
262,VIL240621440,3,0,2024-11-09,1500.0,,
263,VIL240621440,4,0,2024-11-11,1500.0,,
264,VIL240621440,5,0,2024-11-11,1500.0,,
265,VIL240621440,6,0,2024-11-13,1500.0,,
266,VIL240621440,7,0,2024-11-14,1500.0,,
267,VIL240621440,8,0,2024-11-14,1500.0,,
268,VIL240621440,9,0,2024-11-15,1500.0,,
269,VIL240621440,10,0,2024-11-15,1500.0,,
270,VIL240621440,11,0,2024-11-16,1500.0,,
271,VIL240621440,12,0,2024-11-16,1500.0,,
272,VIL240621440,13,0,2024-11-17,1500.0,,
273,VIL240621440,14,0,2024-11-17,1500.0,,
274,VIL240621440,15,0,2024-11-18,1500.0,,
275,VIL240621440,16,0,2024-11-18,1500.0,,
276,VIL240621440,17,0,2024-11-18,1500.0,,
277,VIL240621440,18,0,2024-11-20,1500.0,,
278,VIL240621440,19,0,2024-11-20,1500.0,,
279,VIL240621440,20,0,2024-11-22,0.0,,
280,BIL248961441,1,0,2024-11-06,1500.0,,
281,BIL248961441,2,0,2024-11-06,1500.0,,
282,BIL248961441,3,0,2024-11-07,1500.0,,
283,BIL248961441,4,0,2024-11-08,1500.0,,
284,BIL248961441,5,0,2024-11-09,1500.0,,
285,BIL248961441,6,0,2024-11-10,1500.0,,
286,BIL248961441,7,0,2024-11-10,1500.0,,
287,BIL248961441,8,0,2024-11-10,1500.0,,
288,BIL248961441,9,0,2024-11-12,1500.0,,
289,BIL248961441,10,0,2024-11-12,1500.0,,
290,BIL248961441,11,0,2024-11-14,1500.0,,
291,BIL248961441,12,0,2024-11-14,1500.0,,
292,BIL248961441,13,0,2024-11-14,1500.0,,
293,BIL248961441,14,0,2024-11-14,1500.0,,
294,BIL248961441,15,0,2024-11-14,1500.0,,
295,BIL248961441,16,0,2024-11-15,1500.0,,
296,BIL248961441,17,0,2024-11-17,1500.0,,
297,BIL248961441,18,0,2024-11-17,1500.0,,
298,BIL248961441,19,0,2024-11-17,1500.0,,
299,BIL248961441,20,0,2024-11-17,1500.0,,
300,BIL248961441,21,0,2024-11-17,1500.0,,
301,BIL248961441,22,0,2024-11-17,1500.0,,
302,BIL248961441,23,0,2024-11-17,1500.0,,
303,BIL248961441,24,0,2024-11-17,1500.0,,
304,BIL248961441,25,0,2024-11-17,1500.0,,
305,BIL248961441,26,0,2024-11-18,1500.0,,
306,BIL248961441,27,0,2024-11-20,1000.0,,
307,BUF249421431,1,0,2024-11-06,1700.0,,
308,BUF249421431,2,0,2024-11-08,1700.0,,
309,BUF249421431,3,0,2024-11-09,1700.0,,
310,BUF249421431,4,0,2024-11-10,1700.0,,
311,BUF249421431,5,0,2024-11-10,1700.0,,
312,BUF249421431,6,0,2024-11-10,1700.0,,
313,BUF249421431,7,0,2024-11-12,1700.0,,
314,BUF249421431,8,0,2024-11-12,1700.0,,
315,BUF249421431,9,0,2024-11-12,1700.0,,
316,BUF249421431,10,0,2024-11-12,1700.0,,
317,BUF249421431,11,0,2024-11-12,1700.0,,
318,BUF249421431,12,0,2024-11-14,1700.0,,
319,BUF249421431,13,0,2024-11-15,1700.0,,
320,BUF249421431,14,0,2024-11-16,1700.0,,
321,BUF249421431,15,0,2024-11-16,1700.0,,
322,BUF249421431,16,0,2024-11-16,1700.0,,
323,BUF249421431,17,0,2024-11-17,1700.0,,
324,BUF249421431,18,0,2024-11-19,1700.0,,
325,BUF249421431,19,0,2024-11-21,1700.0,,
326,BUF249421431,20,0,2024-11-23,1700.0,,
327,BUF249421431,21,0,2024-11-23,1700.0,,
328,BUF249421431,22,0,2024-11-24,1700.0,,
329,BUF249421431,23,0,2024-11-25,1700.0,,
330,BUF249421431,24,0,2024-11-25,900.0,,
331,DEV240701432,1,0,2024-11-06,1500.0,,
